"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" "," ","","",""
"Saquon Barkley","PHI","RB1","336.3","1,682.3","11.0","43.5","332.6","2.2","1.4","278.0"
"Bijan Robinson","ATL","RB2","304.6","1,421.3","11.4","59.1","448.6","2.3","1.4","266.1"
"Jahmyr Gibbs","DET","RB3","240.1","1,240.5","11.7","58.4","513.7","2.8","1.3","259.6"
"Derrick Henry","BAL","RB4","306.2","1,554.2","13.7","16.4","153.2","0.9","1.4","255.7"
"Christian McCaffrey","SF","RB5","245.5","1,111.3","8.1","65.4","571.2","3.6","1.8","234.6"
"Ja'Marr Chase","CIN","WR1","1.6","12.7","0.0","120.6","1,587.0","12.2","0.6","232.4"
"Jonathan Taylor","IND","RB6","310.7","1,413.8","10.7","28.6","204.9","1.3","1.6","230.4"
"Josh Jacobs","GB","RB7","290.5","1,232.0","11.5","38.1","316.0","1.5","1.5","229.3"
"Kyren Williams","LAR","RB8","291.7","1,249.9","11.6","33.6","213.7","1.7","2.3","221.3"
"Ashton Jeanty","LV","RB9","272.7","1,226.7","9.2","46.0","362.1","1.9","2.4","220.8"
"De'Von Achane","MIA","RB10","217.8","1,013.6","7.5","68.7","506.7","3.9","1.3","218.0"
"Bucky Irving","TB","RB11","244.9","1,161.4","8.5","45.5","353.6","1.7","1.4","209.8"
"Chase Brown","CIN","RB12","244.7","1,032.7","8.4","58.0","408.0","2.8","1.4","208.5"
"James Cook","BUF","RB13","232.3","1,089.1","9.8","31.6","259.2","1.9","1.4","201.8"
"Justin Jefferson","MIN","WR2","0.5","2.2","0.0","104.3","1,453.1","9.5","0.6","201.3"
"CeeDee Lamb","DAL","WR3","9.2","59.1","0.3","112.1","1,396.8","8.2","1.0","194.4"
"James Conner","ARI","RB14","222.9","1,004.1","8.2","42.5","326.4","1.7","1.4","189.9"
"Chuba Hubbard","CAR","RB15","252.2","1,108.7","8.2","41.1","247.1","1.1","1.8","187.4"
"Nico Collins","HOU","WR4","0.0","1.6","0.0","92.6","1,320.1","9.0","0.5","185.1"
"Malik Nabers","NYG","WR5","2.5","12.2","0.0","107.4","1,348.2","8.3","0.6","184.7"
"Puka Nacua","LAR","WR6","10.7","61.5","0.6","104.1","1,351.7","6.8","0.6","184.5"
"Brian Thomas Jr.","JAC","WR7","3.8","24.9","0.0","92.2","1,297.8","8.6","0.6","183.0"
"Omarion Hampton","LAC","RB16","225.5","985.3","8.7","35.3","273.8","1.5","2.1","182.7"
"Alvin Kamara","NO","RB17","218.6","897.1","5.4","62.9","479.2","2.0","1.3","179.6"
"Amon-Ra St. Brown","DET","WR8","1.9","12.6","0.1","110.1","1,262.2","8.8","0.9","178.7"
"Kenneth Walker III","SEA","RB18","233.4","948.7","8.0","43.1","309.3","1.3","1.3","178.5"
"Breece Hall","NYJ","RB19","218.2","976.1","5.8","46.2","377.5","1.9","1.6","178.4"
"A.J. Brown","PHI","WR9","0.0","0.0","0.0","85.2","1,248.4","8.4","0.9","173.4"
"Drake London","ATL","WR10","0.3","2.0","0.0","96.0","1,235.3","8.2","0.6","171.8"
"Tony Pollard","TEN","RB20","251.3","1,050.4","5.9","42.2","271.7","0.9","1.0","171.1"
"TreVeyon Henderson","NE","RB21","219.7","958.5","6.2","35.9","280.3","1.8","1.7","168.7"
"Tyreek Hill","MIA","WR11","7.2","41.0","0.1","93.0","1,174.9","7.7","0.6","167.5"
"David Montgomery","DET","RB22","199.2","837.2","9.0","31.8","261.1","0.9","1.0","167.2"
"Mike Evans","TB","WR12","0.0","0.0","0.0","80.1","1,077.1","10.0","0.5","166.5"
"D'Andre Swift","CHI","RB23","237.3","962.5","6.1","36.7","284.2","1.2","1.1","166.5"
"Ladd McConkey","LAC","WR13","0.0","1.4","0.0","90.5","1,210.2","7.5","0.7","165.1"
"Tee Higgins","CIN","WR14","0.0","0.0","0.0","86.5","1,100.3","8.9","0.9","161.9"
"Terry McLaurin","WAS","WR15","1.1","4.8","0.0","84.7","1,127.0","8.2","0.9","161.0"
"Davante Adams","LAR","WR16","0.3","0.0","0.0","85.4","1,101.2","8.3","0.5","158.9"
"Aaron Jones Sr.","MIN","RB24","198.8","889.0","4.5","44.6","329.0","2.3","1.8","158.7"
"DK Metcalf","PIT","WR17","0.0","1.2","0.0","78.9","1,148.0","7.3","1.3","156.4"
"Xavier Worthy","KC","WR18","15.5","84.7","1.5","74.7","929.1","7.5","0.5","154.3"
"Marvin Harrison Jr.","ARI","WR19","0.0","3.2","0.0","78.9","1,090.7","7.6","1.0","153.1"
"Jaxon Smith-Njigba","SEA","WR20","2.7","20.9","0.0","93.5","1,115.1","6.6","0.6","152.1"
"RJ Harvey","DEN","RB25","192.3","827.8","5.8","35.4","270.5","1.7","1.3","151.9"
"Isiah Pacheco","KC","RB26","207.6","856.9","6.0","34.2","234.7","1.1","1.0","149.6"
"George Kittle","SF","TE1","0.0","0.0","0.0","76.7","1,044.6","7.5","0.5","148.6"
"Jameson Williams","DET","WR21","7.4","63.5","0.8","62.6","994.4","6.5","0.5","148.3"
"Brock Bowers","LV","TE2","0.0","8.0","0.0","105.4","1,118.3","6.1","0.5","148.3"
"Zay Flowers","BAL","WR22","8.2","48.4","0.1","77.3","1,048.1","6.4","0.5","147.8"
"Kaleb Johnson","PIT","RB27","206.7","864.3","6.6","23.2","177.3","1.0","1.7","146.2"
"Courtland Sutton","DEN","WR23","0.0","0.2","0.0","76.8","1,019.4","7.6","0.9","145.8"
"Tyrone Tracy Jr.","NYG","RB28","192.6","829.3","5.3","36.1","268.8","1.1","1.6","145.3"
