"Player","Team","FG","FGA","XPT","FPTS"
"Brandon Aubrey","DAL","33.2","37.3","40.7","140.1"
"Matt Gay","WAS","29.9","35.3","47.3","137.1"
"Chase McLaughlin","TB","30.1","32.9","46.2","136.5"
"Jake Elliott","PHI","29.3","34.2","46.2","134.1"
"Tyler Bass","BUF","27.4","32.9","51.1","133.2"
"Cameron Dicker","LAC","31.2","34.3","37.7","131.2"
"Tyler Loop","BAL","27.4","32.5","47.7","129.7"
"Jake Bates","DET","27.0","30.3","48.1","128.9"
"Evan McPherson","CIN","27.2","33.6","46.9","128.5"
"Harrison Butker","KC","28.7","33.3","42.3","128.2"
"Ka'imi Fairbairn","HOU","30.7","34.7","35.8","127.8"
"Brandon McManus","GB","27.7","32.3","44.5","127.6"
"Chris Boswell","PIT","30.2","33.7","35.5","126.1"
"Younghoe Koo","ATL","28.0","34.4","42.1","125.9"
"Wil Lutz","DEN","28.4","32.3","40.2","125.4"
"Will Reichard","MIN","28.0","33.3","41.2","125.1"
"Joshua Karty","LAR","28.7","34.0","38.6","124.6"
"Jake Moody","SF","27.7","35.0","40.7","123.6"
"Chad Ryland","ARI","28.1","33.7","39.0","123.2"
"Spencer Shrader","IND","27.5","32.7","38.2","120.7"
"Daniel Carlson","LV","29.2","34.1","32.7","120.4"
"Cam Little","JAC","27.4","30.7","36.5","118.8"
"Cairo Santos","CHI","26.7","30.7","37.0","117.2"
"Jason Myers","SEA","27.5","31.1","34.2","116.6"
"Nick Folk","NYJ","26.4","29.4","33.2","112.2"
"Blake Grupe","NO","26.5","31.1","30.1","109.7"
"Joey Slye","TEN","25.8","31.8","31.3","108.7"
"Ryan Fitzgerald","CAR","24.5","29.4","34.4","108.0"
"Andy Borregales","NE","24.8","29.7","32.8","107.3"
"Graham Gano","NYG","24.6","29.1","31.4","105.2"
"Jason Sanders","MIA","23.7","26.7","31.4","102.6"
"Andre Szmyt","CLE","22.9","27.8","25.7","94.5"
"Riley Patterson","MIA","7.1","8.9","9.2","30.5"
"Harrison Mevis","NYJ","0.0","0.0","0.0","0.0"
"Jude McAtamney","NYG","0.0","0.0","0.0","0.0"
""
""
