"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Josh Allen","BUF","520.9","333.6","3,913.4","29.0","10.4","115.9","572.1","10.7","3.4","376.7"
"Lamar Jackson","BAL","477.5","319.1","3,871.4","32.3","8.3","134.7","828.0","3.9","4.5","372.9"
"Jalen Hurts","PHI","464.9","314.1","3,559.2","23.7","8.7","147.3","633.1","12.6","3.9","359.9"
"Jayden Daniels","WAS","533.5","362.5","3,883.9","26.8","10.6","137.5","749.7","5.7","2.5","356.0"
"Joe Burrow","CIN","626.9","434.1","4,661.1","35.9","10.5","48.2","179.7","2.1","3.8","342.2"
"Patrick Mahomes II","KC","606.1","410.4","4,287.6","30.4","12.2","75.1","365.6","2.8","2.5","329.6"
"Baker Mayfield","TB","553.9","383.8","4,165.7","32.7","14.7","64.4","288.5","2.6","3.9","319.1"
"Kyler Murray","ARI","540.4","366.4","3,820.0","24.2","11.2","88.6","551.8","5.1","3.8","316.4"
"Brock Purdy","SF","525.4","351.5","4,306.4","27.1","12.5","64.6","279.1","3.6","2.9","311.9"
"Bo Nix","DEN","561.1","366.5","3,816.1","27.5","12.1","88.7","423.4","3.5","2.0","310.1"
"Justin Fields","NYJ","496.6","308.7","3,243.4","19.3","10.9","135.1","743.3","6.1","3.8","299.1"
"J.J. McCarthy","MIN","562.8","367.1","4,076.7","28.6","14.5","57.4","258.2","2.0","3.8","293.6"
"Dak Prescott","DAL","605.7","398.5","4,275.0","27.7","12.2","42.5","178.4","1.9","3.0","292.5"
"Justin Herbert","LAC","539.1","353.6","3,972.7","25.7","8.6","65.4","272.0","2.6","2.5","291.1"
"Caleb Williams","CHI","565.5","359.3","3,785.9","23.9","10.4","86.7","470.0","2.6","4.5","290.1"
"Jared Goff","DET","550.2","380.4","4,352.5","30.0","11.5","30.3","61.5","0.5","2.9","285.9"
"C.J. Stroud","HOU","563.6","362.2","4,087.4","25.0","10.7","58.7","256.9","1.7","3.7","281.3"
"Drake Maye","NE","519.8","347.2","3,587.7","22.8","12.7","77.2","491.7","3.0","4.8","279.7"
"Jordan Love","GB","510.5","327.5","3,917.0","27.7","12.2","41.5","166.7","1.9","2.5","278.4"
"Trevor Lawrence","JAC","554.2","355.8","4,001.2","23.5","13.0","54.4","252.3","3.1","4.1","276.6"
