"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Saquon Barkley","PHI","336.3","1,682.3","11.0","43.5","332.6","2.2","1.4","278.0"
"Bijan Robinson","ATL","304.6","1,421.3","11.4","59.1","448.6","2.3","1.4","266.1"
"Jahmyr Gibbs","DET","240.1","1,240.5","11.7","58.4","513.7","2.8","1.3","259.6"
"Derrick Henry","BAL","306.2","1,554.2","13.7","16.4","153.2","0.9","1.4","255.7"
"Christian McCaffrey","SF","245.5","1,111.3","8.1","65.4","571.2","3.6","1.8","234.6"
"Jonathan Taylor","IND","310.7","1,413.8","10.7","28.6","204.9","1.3","1.6","230.4"
"Josh Jacobs","GB","290.5","1,232.0","11.5","38.1","316.0","1.5","1.5","229.3"
"Kyren Williams","LAR","291.7","1,249.9","11.6","33.6","213.7","1.7","2.3","221.3"
"Ashton Jeanty","LV","272.7","1,226.7","9.2","46.0","362.1","1.9","2.4","220.8"
"De'Von Achane","MIA","217.8","1,013.6","7.5","68.7","506.7","3.9","1.3","218.0"
"Bucky Irving","TB","244.9","1,161.4","8.5","45.5","353.6","1.7","1.4","209.8"
"Chase Brown","CIN","244.7","1,032.7","8.4","58.0","408.0","2.8","1.4","208.5"
"James Cook","BUF","232.3","1,089.1","9.8","31.6","259.2","1.9","1.4","201.8"
"James Conner","ARI","222.9","1,004.1","8.2","42.5","326.4","1.7","1.4","189.9"
"Chuba Hubbard","CAR","252.2","1,108.7","8.2","41.1","247.1","1.1","1.8","187.4"
"Omarion Hampton","LAC","225.5","985.3","8.7","35.3","273.8","1.5","2.1","182.7"
"Alvin Kamara","NO","218.6","897.1","5.4","62.9","479.2","2.0","1.3","179.6"
"Kenneth Walker III","SEA","233.4","948.7","8.0","43.1","309.3","1.3","1.3","178.5"
"Breece Hall","NYJ","218.2","976.1","5.8","46.2","377.5","1.9","1.6","178.4"
"Tony Pollard","TEN","251.3","1,050.4","5.9","42.2","271.7","0.9","1.0","171.1"
"TreVeyon Henderson","NE","219.7","958.5","6.2","35.9","280.3","1.8","1.7","168.7"
"David Montgomery","DET","199.2","837.2","9.0","31.8","261.1","0.9","1.0","167.2"
"D'Andre Swift","CHI","237.3","962.5","6.1","36.7","284.2","1.2","1.1","166.5"
"Aaron Jones Sr.","MIN","198.8","889.0","4.5","44.6","329.0","2.3","1.8","158.7"
"RJ Harvey","DEN","192.3","827.8","5.8","35.4","270.5","1.7","1.3","151.9"
"Isiah Pacheco","KC","207.6","856.9","6.0","34.2","234.7","1.1","1.0","149.6"
"Kaleb Johnson","PIT","206.7","864.3","6.6","23.2","177.3","1.0","1.7","146.2"
"Tyrone Tracy Jr.","NYG","192.6","829.3","5.3","36.1","268.8","1.1","1.6","145.3"
"Jaylen Warren","PIT","149.5","668.5","3.6","49.9","362.5","1.2","1.1","129.5"
"Jacory Croskey-Merritt","WAS","163.8","693.0","5.8","22.8","180.1","1.3","0.9","127.9"
"Austin Ekeler","WAS","108.7","487.6","4.7","47.2","385.5","1.8","1.4","123.4"
"Zach Charbonnet","SEA","135.9","586.4","4.9","36.2","268.2","1.0","0.8","119.3"
"J.K. Dobbins","DEN","147.1","655.3","4.8","29.6","190.2","1.2","1.2","117.9"
"Jordan Mason","MIN","164.2","755.7","4.7","16.3","119.2","0.5","0.7","117.1"
"Javonte Williams","DAL","168.2","644.6","4.4","34.4","220.2","0.9","0.6","116.9"
