"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Ja'Marr Chase","CIN","120.6","1,587.0","12.2","1.6","12.7","0.0","0.6","232.4"
"Justin Jefferson","MIN","104.3","1,453.1","9.5","0.5","2.2","0.0","0.6","201.3"
"CeeDee Lamb","DAL","112.1","1,396.8","8.2","9.2","59.1","0.3","1.0","194.4"
"Nico Collins","HOU","92.6","1,320.1","9.0","0.0","1.6","0.0","0.5","185.1"
"Malik Nabers","NYG","107.4","1,348.2","8.3","2.5","12.2","0.0","0.6","184.7"
"Puka Nacua","LAR","104.1","1,351.7","6.8","10.7","61.5","0.6","0.6","184.5"
"Brian Thomas Jr.","JAC","92.2","1,297.8","8.6","3.8","24.9","0.0","0.6","183.0"
"Amon-Ra St. Brown","DET","110.1","1,262.2","8.8","1.9","12.6","0.1","0.9","178.7"
"A.J. Brown","PHI","85.2","1,248.4","8.4","0.0","0.0","0.0","0.9","173.4"
"Drake London","ATL","96.0","1,235.3","8.2","0.3","2.0","0.0","0.6","171.8"
"Tyreek Hill","MIA","93.0","1,174.9","7.7","7.2","41.0","0.1","0.6","167.5"
"Mike Evans","TB","80.1","1,077.1","10.0","0.0","0.0","0.0","0.5","166.5"
"Ladd McConkey","LAC","90.5","1,210.2","7.5","0.0","1.4","0.0","0.7","165.1"
"Tee Higgins","CIN","86.5","1,100.3","8.9","0.0","0.0","0.0","0.9","161.9"
"Terry McLaurin","WAS","84.7","1,127.0","8.2","1.1","4.8","0.0","0.9","161.0"
"Davante Adams","LAR","85.4","1,101.2","8.3","0.3","0.0","0.0","0.5","158.9"
"DK Metcalf","PIT","78.9","1,148.0","7.3","0.0","1.2","0.0","1.3","156.4"
"Xavier Worthy","KC","74.7","929.1","7.5","15.5","84.7","1.5","0.5","154.3"
"Marvin Harrison Jr.","ARI","78.9","1,090.7","7.6","0.0","3.2","0.0","1.0","153.1"
"Jaxon Smith-Njigba","SEA","93.5","1,115.1","6.6","2.7","20.9","0.0","0.6","152.1"
"Jameson Williams","DET","62.6","994.4","6.5","7.4","63.5","0.8","0.5","148.3"
"Zay Flowers","BAL","77.3","1,048.1","6.4","8.2","48.4","0.1","0.5","147.8"
"Courtland Sutton","DEN","76.8","1,019.4","7.6","0.0","0.2","0.0","0.9","145.8"
"DJ Moore","CHI","87.8","1,014.9","6.4","9.5","53.8","0.1","0.9","144.5"
"Garrett Wilson","NYJ","91.5","1,092.2","6.0","1.9","13.5","0.0","1.3","143.8"
"Calvin Ridley","TEN","70.4","1,032.9","6.0","5.6","33.4","0.3","0.9","142.8"
